schema,table,initial_classification,rationale
public,events,POSSIBLE_REST,Schema-based rule: public
public,flyway_schema_history,POSSIBLE_REST,Schema-based rule: public
public,ladder_levels,POSSIBLE_REST,Schema-based rule: public
public,ladder_levels_20260205,POSSIBLE_REST,Schema-based rule: public
public,ladder_levels_20260206,POSSIBLE_REST,Schema-based rule: public
public,ladder_levels_initial,POSSIBLE_REST,Schema-based rule: public
public,market_book_snapshots,POSSIBLE_REST,Schema-based rule: public
public,market_derived_metrics,POSSIBLE_REST,Schema-based rule: public
public,market_event_metadata,POSSIBLE_REST,Schema-based rule: public
public,market_lifecycle_events,POSSIBLE_REST,Schema-based rule: public
public,market_liquidity_history,POSSIBLE_REST,Schema-based rule: public
public,market_risk_snapshots,POSSIBLE_REST,Schema-based rule: public
public,markets,POSSIBLE_REST,Schema-based rule: public
public,runners,POSSIBLE_REST,Schema-based rule: public
public,seen_markets,POSSIBLE_REST,Schema-based rule: public
public,tracked_markets,POSSIBLE_REST,Schema-based rule: public
public,traded_volume,POSSIBLE_REST,Schema-based rule: public
stream_ingest,ladder_levels,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260216,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260217,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260218,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260219,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260220,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260221,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260222,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260223,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260224,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260225,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260226,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260227,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260228,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260301,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260302,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260303,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260304,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260305,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260306,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260307,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260308,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260309,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260310,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260311,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260312,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260313,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260314,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260315,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260316,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260317,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_20260318,STREAMING,Schema-based rule: stream_ingest
stream_ingest,ladder_levels_initial,STREAMING,Schema-based rule: stream_ingest
stream_ingest,market_liquidity_history,STREAMING,Schema-based rule: stream_ingest
